tokyo_temp_mean,tokyo_temp_max,tokyo_temp_min,tokyo_hum,tokyo_press,tokyo_precip,tokyo_sun,kofu_temp_mean,kofu_temp_max,kofu_temp_min,kofu_hum,kofu_press,kofu_precip,kofu_sun,date
9.15,13.4,5.2,71.70833333333333,1012.1666666666666,0.5,0.0,7.966666666666666,13.5,3.4,72.58333333333333,1012.4333333333334,0.0,0.0,2025-01-20
9.354166666666666,13.3,7.1,69.95833333333333,1015.5458333333332,0.0,0.0,7.5249999999999995,12.1,2.7,64.66666666666667,1015.2416666666667,0.0,0.0,2025-01-21
8.220833333333333,12.7,4.6,46.208333333333336,1020.225,0.0,0.0,5.2875000000000005,12.0,-0.7,59.916666666666664,1020.7583333333332,0.0,0.0,2025-01-22
8.454166666666667,13.9,4.9,61.541666666666664,1021.75,0.0,0.0,5.404166666666666,12.2,-0.8,61.791666666666664,1022.5041666666666,0.0,0.0,2025-01-23
9.237499999999999,13.8,5.2,63.833333333333336,1021.3666666666668,0.5,0.0,5.904166666666666,13.6,-1.1,60.833333333333336,1021.4375,0.0,0.0,2025-01-24
6.808333333333334,8.9,4.7,69.625,1020.5791666666668,0.0,0.0,6.525000000000001,11.6,2.1,44.916666666666664,1020.1541666666667,0.0,0.0,2025-01-25
6.991666666666667,11.7,3.6,46.291666666666664,1017.7041666666668,0.0,0.0,4.6875,11.0,-0.7,43.916666666666664,1018.8458333333334,0.0,0.0,2025-01-26
6.354166666666667,9.5,2.7,54.625,1014.4166666666666,0.0,0.0,3.7083333333333335,9.7,-1.6,57.083333333333336,1015.0708333333333,0.0,0.0,2025-01-27
8.379166666666666,12.8,4.8,51.75,1007.3958333333334,0.0,0.0,6.820833333333333,14.6,1.5,49.041666666666664,1008.0500000000001,0.0,0.0,2025-01-28
6.983333333333334,11.9,3.3,38.375,1009.7291666666666,0.0,0.0,2.9874999999999994,9.6,-2.7,45.125,1011.2291666666666,0.0,0.0,2025-01-29
6.466666666666666,11.0,1.9,40.875,1013.4,0.0,0.0,3.170833333333334,9.3,-3.0,43.833333333333336,1014.5749999999999,0.0,0.0,2025-01-30
7.133333333333334,12.1,2.9,37.958333333333336,1019.6791666666667,0.0,0.0,4.829166666666667,11.3,-1.5,36.458333333333336,1019.7583333333332,0.0,0.0,2025-01-31
